rec_date,code,method,topk,horizon,score,entry_price,exit_price,stop_price,target_price,ret_pct,win,exit_type,b_ratio,MACRO_REGIME_MODE,ACTION_TIER,ROUTE,TOP_PICK_TYPE,fill_status,fill_day
20260512,295310,POSITION_TRACK,0,0,0.0,98200.0,125300.0,83500.0,113900.0,27.5967,1,TP2_HIT,1.068,,,,,unknown,0
20260513,087010,POSITION_TRACK,0,0,0.0,266500.0,239000.0,245000.0,305000.0,-10.3189,0,STOP_HIT,1.7907,,,,,unknown,0
20260406,475150,POSITION_TRACK,0,0,0.0,52000.0,43450.0,44150.0,69300.0,-16.4423,0,STOP_HIT,2.2038,,,,,unknown,0
20260410,041440,POSITION_TRACK,0,0,0.0,9200.0,8200.0,8330.0,9750.0,-10.8696,0,STOP_HIT,0.6322,,,,,unknown,0
20260414,003620,POSITION_TRACK,0,0,0.0,3980.0,3610.0,3690.0,4120.0,-9.2965,0,STOP_HIT,0.4828,,,,,unknown,0
20260415,250060,POSITION_TRACK,0,0,0.0,4865.0,4090.0,4140.0,5750.0,-15.9301,0,STOP_HIT,1.2207,,,,,unknown,0
20260424,259630,POSITION_TRACK,0,0,0.0,17200.0,14500.0,14720.0,20100.0,-15.6977,0,STOP_HIT,1.1694,,,,,unknown,0
20260428,056080,POSITION_TRACK,0,0,0.0,27750.0,23500.0,24350.0,28650.0,-15.3153,0,STOP_HIT,0.2647,,,,,unknown,0
20260428,102120,POSITION_TRACK,0,0,0.0,13750.0,12200.0,12230.0,15800.0,-11.2727,0,STOP_HIT,1.3487,,,,,unknown,0
20260513,348340,POSITION_TRACK,0,0,0.0,76200.0,59800.0,64700.0,82500.0,-21.5223,0,STOP_HIT,0.5478,,,,,unknown,0
20260312,017960,POSITION_TRACK,0,0,0.0,41700.0,35400.0,35400.0,49000.0,-15.1079,0,STOP_HIT,1.1587,,,,,unknown,0
20260416,139480,POSITION_TRACK,0,0,0.0,101900.0,88500.0,92800.0,136400.0,-13.1501,0,STOP_HIT,3.7912,,,,,unknown,0
20260417,001430,POSITION_TRACK,0,0,0.0,74000.0,60700.0,62800.0,92500.0,-17.973,0,STOP_HIT,1.6518,,,,,unknown,0
20260430,004020,POSITION_TRACK,0,0,0.0,42550.0,36400.0,38000.0,47800.0,-14.4536,0,STOP_HIT,1.1538,,,,,unknown,0
20260430,001200,POSITION_TRACK,0,0,0.0,5590.0,4950.0,5020.0,6810.0,-11.449,0,STOP_HIT,2.1404,,,,,unknown,0
20260504,0008Z0,POSITION_TRACK,0,0,0.0,40150.0,33150.0,34500.0,49900.0,-17.4346,0,STOP_HIT,1.7257,,,,,unknown,0
20260514,012030,POSITION_TRACK,0,0,0.0,2265.0,1886.0,1974.0,2445.0,-16.7329,0,STOP_HIT,0.6186,,,,,unknown,0
20260515,396270,POSITION_TRACK,0,0,0.0,6270.0,5080.0,5320.0,7570.0,-18.9793,0,STOP_HIT,1.3684,,,,,unknown,0
20260513,482630,POSITION_TRACK,0,0,0.0,20700.0,17030.0,18050.0,23700.0,-17.7295,0,STOP_HIT,1.1321,,,,,unknown,0
20260320,003070,POSITION_TRACK,0,0,0.0,10680.0,9300.0,9360.0,12300.0,-12.9213,0,STOP_HIT,1.2273,,,,,unknown,0
20260417,005380,POSITION_TRACK,0,0,0.0,538000.0,723000.0,486000.0,687000.0,34.3866,1,TP2_HIT,2.8654,,,,,unknown,0
20260427,079550,POSITION_TRACK,0,0,0.0,950000.0,801000.0,807000.0,1118000.0,-15.6842,0,STOP_HIT,1.1748,,,,,unknown,0
20260430,012800,POSITION_TRACK,0,0,0.0,1650.0,1447.0,1489.0,1790.0,-12.303,0,STOP_HIT,0.8696,,,,,unknown,0
20260522,003690,POSITION_TRACK,0,0,0.0,14520.0,12850.0,13350.0,17000.0,-11.5014,0,STOP_HIT,2.1197,,,,,unknown,0
20260325,214390,POSITION_TRACK,0,0,0.0,6510.0,5530.0,5530.0,9300.0,-15.0538,0,STOP_HIT,2.8469,,,,,unknown,0
20260326,451760,POSITION_TRACK,0,0,0.0,20000.0,15900.0,17000.0,20800.0,-20.5,0,STOP_HIT,0.2667,,,,,unknown,0
20260401,053690,POSITION_TRACK,0,0,0.0,24350.0,19300.0,20700.0,32500.0,-20.7392,0,STOP_HIT,2.2329,,,,,unknown,0
20260415,454910,POSITION_TRACK,0,0,0.0,93300.0,138400.0,84700.0,130600.0,48.3387,1,TP2_HIT,4.3372,,,,,unknown,0
20260508,089010,POSITION_TRACK,0,0,0.0,41050.0,34800.0,35650.0,48900.0,-15.2253,0,STOP_HIT,1.4537,,,,,unknown,0
20260511,028670,POSITION_TRACK,0,0,0.0,5820.0,5110.0,5250.0,6290.0,-12.1993,0,STOP_HIT,0.8246,,,,,unknown,0
20260521,187790,POSITION_TRACK,0,0,0.0,6750.0,5500.0,5730.0,7260.0,-18.5185,0,STOP_HIT,0.5,,,,,unknown,0
20260526,012610,POSITION_TRACK,0,0,0.0,5690.0,4710.0,4835.0,6430.0,-17.2232,0,STOP_HIT,0.8655,,,,,unknown,0
20260304,310210,POSITION_TRACK,0,0,0.0,275500.0,233000.0,234000.0,400000.0,-15.4265,0,STOP_HIT,3.0,,,,,unknown,0
20260318,321370,POSITION_TRACK,0,0,0.0,3020.0,2520.0,2565.0,4755.0,-16.5563,0,STOP_HIT,3.8132,,,,,unknown,0
20260323,039560,POSITION_TRACK,0,0,0.0,4340.0,3540.0,3685.0,5370.0,-18.4332,0,STOP_HIT,1.5725,,,,,unknown,0
20260403,368770,POSITION_TRACK,0,0,0.0,19890.0,15950.0,16910.0,25500.0,-19.8089,0,STOP_HIT,1.8826,,,,,unknown,0
20260515,019210,POSITION_TRACK,0,0,0.0,17630.0,14710.0,15060.0,18200.0,-16.5627,0,STOP_HIT,0.2218,,,,,unknown,0
20260226,450080,DISPLAY_SCORE,1,1,89.4,70200.0,0.0,66600.0,81000.0,-2.71,0,hold_close,3.0,,,ARMED,,filled,1
20260226,450080,DISPLAY_SCORE,3,1,89.4,70200.0,0.0,66600.0,81000.0,-2.71,0,hold_close,3.0,,,ARMED,,filled,1
20260226,009240,DISPLAY_SCORE,3,1,87.0,51400.0,42800.0,48800.0,57900.0,-16.88,0,stop_hit,2.5,,,WAIT,,unknown,0
20260226,450080,DISPLAY_SCORE,5,1,89.4,70200.0,0.0,66600.0,81000.0,-2.71,0,hold_close,3.0,,,ARMED,,filled,1
20260226,009240,DISPLAY_SCORE,5,1,87.0,51400.0,42800.0,48800.0,57900.0,-16.88,0,stop_hit,2.5,,,WAIT,,unknown,0
20260226,307950,DISPLAY_SCORE,5,1,86.7,505000.0,405000.0,484500.0,567000.0,-19.95,0,stop_hit,3.02,,,ATTACK,,filled,1
20260226,003670,DISPLAY_SCORE,5,1,86.1,247000.0,210000.0,237000.0,277000.0,-15.13,0,stop_hit,3.0,,,ARMED,,filled,1
20260226,450080,DISPLAY_SCORE,10,1,89.4,70200.0,0.0,66600.0,81000.0,-2.71,0,hold_close,3.0,,,ARMED,,filled,1
20260226,009240,DISPLAY_SCORE,10,1,87.0,51400.0,42800.0,48800.0,57900.0,-16.88,0,stop_hit,2.5,,,WAIT,,unknown,0
20260226,307950,DISPLAY_SCORE,10,1,86.7,505000.0,405000.0,484500.0,567000.0,-19.95,0,stop_hit,3.02,,,ATTACK,,filled,1
20260226,003670,DISPLAY_SCORE,10,1,86.1,247000.0,210000.0,237000.0,277000.0,-15.13,0,stop_hit,3.0,,,ARMED,,filled,1
20260226,006400,DISPLAY_SCORE,10,1,84.8,442500.0,396000.0,424500.0,496500.0,-10.66,0,stop_hit,3.0,,,WAIT,,filled,1
20260226,322510,DISPLAY_SCORE,10,1,83.9,8030.0,6880.0,7620.0,9260.0,-14.47,0,stop_hit,3.0,,,ARMED,,unknown,0
20260226,120110,DISPLAY_SCORE,10,1,83.7,66100.0,0.0,62700.0,76300.0,9.68,1,hold_close,3.0,,,WAIT,,filled,1
20260226,450080,FINAL_SCORE,1,1,89.4,70200.0,0.0,66600.0,81000.0,-2.71,0,hold_close,3.0,,,ARMED,,filled,1
20260226,450080,FINAL_SCORE,3,1,89.4,70200.0,0.0,66600.0,81000.0,-2.71,0,hold_close,3.0,,,ARMED,,filled,1
20260226,009240,FINAL_SCORE,3,1,87.0,51400.0,42800.0,48800.0,57900.0,-16.88,0,stop_hit,2.5,,,WAIT,,unknown,0
20260226,450080,FINAL_SCORE,5,1,89.4,70200.0,0.0,66600.0,81000.0,-2.71,0,hold_close,3.0,,,ARMED,,filled,1
20260226,009240,FINAL_SCORE,5,1,87.0,51400.0,42800.0,48800.0,57900.0,-16.88,0,stop_hit,2.5,,,WAIT,,unknown,0
20260226,307950,FINAL_SCORE,5,1,86.7,505000.0,405000.0,484500.0,567000.0,-19.95,0,stop_hit,3.02,,,ATTACK,,filled,1
20260226,003670,FINAL_SCORE,5,1,86.1,247000.0,210000.0,237000.0,277000.0,-15.13,0,stop_hit,3.0,,,ARMED,,filled,1
20260226,450080,FINAL_SCORE,10,1,89.4,70200.0,0.0,66600.0,81000.0,-2.71,0,hold_close,3.0,,,ARMED,,filled,1
20260226,009240,FINAL_SCORE,10,1,87.0,51400.0,42800.0,48800.0,57900.0,-16.88,0,stop_hit,2.5,,,WAIT,,unknown,0
20260226,307950,FINAL_SCORE,10,1,86.7,505000.0,405000.0,484500.0,567000.0,-19.95,0,stop_hit,3.02,,,ATTACK,,filled,1
