시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,업종_상세,업종_대분류,RR1,Now%,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME,AI_COMMENT,REGIME_RANK,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSDAQ,휴림로봇,090710,특수 목적용 기계 제조업,5580,333.51,6665.7,63.8,72.3,4.47,26.0979,-7.4458,0.65,-3.79,11.16,88.83,11.97,76.86,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",5500,5120,6080,6660,특수 목적용 기계 제조업,조선·기계·설비,1.5263157894736843,1.4545454545454546,73.6,78.5,🔺 Watch (상승 준비),② 상승 후 조정,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. ,2,20251211,20251211,22.92,11.97,88.83,11.97,76.86
KOSDAQ,메지온,140410,자연과학 및 공학 연구개발업,74300,138.56,22560.4,55.4,60.8,1.0,-285.1892,-345.70107,1.23,-10.48,11.39,48.3,11.97,36.33,6,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI)",74300,69100,82100,89900,자연과학 및 공학 연구개발업,기타,1.5,0.0,73.3,81.8,🔁 MR (반전),② 상승 후 조정,💸 자금 유입이 꾸준히 이어지고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,2,20251211,20251211,22.92,11.97,48.3,11.97,36.33
KOSPI,SK스퀘어,402340,기타 금융업,307500,1000.08,407563.1,70.4,70.4,2.67,-3.1855,-1086.83856,0.59,-1.6,2.16,68.86,22.92,45.94,4,★,"20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",307500,286000,333500,361500,기타 금융업,금융,1.2093023255813953,0.0,73.3,75.4,↩️ PULL (눌림),② 상승 후 조정,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. ,2,20251211,20251211,22.92,11.97,68.86,22.92,45.94
KOSDAQ,리가켐바이오,141080,자연과학 및 공학 연구개발업,187300,550.09,68571.2,56.2,54.0,2.19,-1116.3206,-153.03156,0.58,-4.49,3.65,21.54,11.97,9.57,4,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑)",187300,174200,203000,220000,자연과학 및 공학 연구개발업,기타,1.1984732824427482,0.0,71.3,75.7,🔁 MR (반전),② 상승 후 조정,특이사항 없음. 기술적 지표를 참고하세요.,2,20251211,20251211,22.92,11.97,21.54,11.97,9.57
KOSPI,삼성전자,005930,통신 및 방송 장비 제조업,107300,24900.51,6351771.5,77.3,67.7,4.9,440.8483,-143.80532,1.27,2.09,3.67,46.19,22.92,23.27,6,★,"20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",105400,99400,114300,123300,통신 및 방송 장비 제조업,IT/전기전자,1.4833333333333334,1.8026565464895636,71.2,67.8,🔺 Watch (상승 준비),② 상승 후 조정,💸 자금 유입이 꾸준히 이어지고 있습니다. ,2,20251211,20251211,22.92,11.97,46.19,22.92,23.27
KOSPI,대한전선,001440,절연선 및 케이블 제조업,22300,621.97,41577.7,48.1,47.6,-2.4,-182.7839,-5.75006,0.87,-1.76,0.0,33.37,22.92,10.45,3,,"RSI적정, 정배열(단), 장기추세(120↑)",22300,20750,24150,26200,절연선 및 케이블 제조업,기타,1.1935483870967742,0.0,71.0,72.5,↩️ PULL (눌림),② 상승 후 조정,특이사항 없음. 기술적 지표를 참고하세요.,2,20251211,20251211,22.92,11.97,33.37,22.92,10.45
KOSDAQ,심텍,222800,전자부품 제조업,54100,344.24,20036.9,59.8,67.3,0.67,-58.1402,-62.81924,0.63,1.12,0.56,84.33,11.97,72.36,5,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",54100,50300,58600,63600,전자부품 제조업,IT/전기전자,1.1842105263157894,0.0,70.2,78.5,↩️ PULL (눌림),② 상승 후 조정,💸 자금 유입이 꾸준히 이어지고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,2,20251211,20251211,22.92,11.97,84.33,11.97,72.36
KOSDAQ,하나마이크론,067310,반도체 제조업,24500,277.96,16262.6,60.9,70.1,-1.63,-50.3105,-31.91961,0.68,0.41,-3.92,43.19,11.97,31.22,4,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI)",24500,22800,26550,28800,반도체 제조업,반도체,1.2058823529411764,0.0,69.1,76.7,↩️ PULL (눌림),② 상승 후 조정,💰 외국인/기관의 강력한 수급이 집중되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,2,20251211,20251211,22.92,11.97,43.19,11.97,31.22
KOSPI,HD현대,267250,기타 금융업,203000,317.52,160356.0,49.6,41.9,-1.4,-612.664,-236.77042,0.87,-2.17,0.74,35.51,22.92,12.59,3,,"RSI적정, 정배열(단), 장기추세(120↑)",203000,188800,220000,238500,기타 금융업,금융,1.1971830985915493,0.0,68.3,72.9,🔁 MR (반전),② 상승 후 조정,✅ 20일선 부근의 안전한 눌림목 구간입니다.,2,20251211,20251211,22.92,11.97,35.51,22.92,12.59
KOSPI,한국타이어앤테크놀로지,161390,고무제품 제조업,59300,295.47,73457.9,55.0,54.4,-0.88,-681.5637,-128.32929,1.48,-4.35,-0.67,48.62,22.92,25.7,5,★,"RSI적정, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑)",59300,55400,64000,69100,고무제품 제조업,화학·소재,1.205128205128205,0.0,68.0,75.6,🔁 MR (반전),② 상승 후 조정,✅ 20일선 부근의 안전한 눌림목 구간입니다.,2,20251211,20251211,22.92,11.97,48.62,22.92,25.7
