종목코드,종목명,시장,종가,시가,저가,고가
192400,쿠쿠홀딩스,KOSPI,25500,26100,25200,26350
038500,삼표시멘트,KOSDAQ GLOBAL,8400,9070,8370,9070
241710,코스메카코리아,KOSDAQ GLOBAL,84300,79500,79100,88000
033100,제룡전기,KOSDAQ GLOBAL,55500,55000,52000,57000
083450,GST,KOSDAQ,48450,51000,48100,51300
281740,레이크머티리얼즈,KOSDAQ,13460,14070,13360,14070
090710,휴림로봇,KOSDAQ,7330,7800,7280,7800
071055,한국금융지주우,KOSPI,148800,152900,147000,154600
003470,유안타증권,KOSPI,4395,4480,4375,4610
451800,한화리츠,KOSPI,4715,4835,4650,4835
491000,리브스메드,KOSDAQ,33800,36800,33800,36800
065350,신성델타테크,KOSDAQ,30750,29700,29150,31400
036540,SFA반도체,KOSDAQ,5130,5680,5090,5680
293490,카카오게임즈,KOSDAQ GLOBAL,7820,7900,7770,8150
074600,원익QnC,KOSDAQ,32200,35400,31400,35400
456040,OCI,KOSPI,93100,100100,92000,100200
006120,SK디스커버리,KOSPI,47650,49300,47000,50200
328130,루닛,KOSDAQ,11110,11630,10860,11630
365550,ESR켄달스퀘어리츠,KOSPI,3360,3430,3290,3430
137400,피엔티,KOSDAQ GLOBAL,34800,35750,34450,36000
397030,에이프릴바이오,KOSDAQ,34800,38100,34750,38100
122870,와이지엔터테인먼트,KOSDAQ GLOBAL,43850,43400,43300,46600
388210,씨엠티엑스,KOSDAQ,84500,92100,84000,92100
030190,NICE평가정보,KOSPI,13770,14000,13310,14220
019210,와이지-원,KOSDAQ,21500,20800,20600,22850
388720,유일로보틱스,KOSDAQ,67800,70500,67500,71400
056190,SFA,KOSDAQ GLOBAL,22200,22800,22050,23000
036530,SNT홀딩스,KOSPI,48600,49350,48550,50000
115180,큐리언트,KOSDAQ,21100,22500,21100,23500
041830,인바디,KOSDAQ,58000,59500,57200,63200
137310,에스디바이오센서,KOSPI,6540,6370,6160,6670
009240,한샘,KOSPI,33500,33250,32550,34200
189300,인텔리안테크,KOSDAQ,72200,75900,71900,76300
090360,로보스타,KOSDAQ,80300,83400,79300,84500
161580,필옵틱스,KOSDAQ,33400,35500,33100,35550
014620,성광벤드,KOSDAQ GLOBAL,29050,29550,28900,30950
071320,지역난방공사,KOSPI,66200,65500,64700,68200
048410,현대바이오,KOSDAQ,7920,8100,7770,8240
499790,GS피앤엘,KOSPI,38900,39300,38200,41550
213420,덕산네오룩스,KOSDAQ,30350,32250,30200,32250
214320,이노션,KOSPI,18820,18090,18090,19190
005690,파미셀,KOSPI,12510,13480,12410,13480
112040,위메이드,KOSDAQ,22100,28150,21250,28600
075580,세진중공업,KOSPI,13160,14550,13100,14570
252990,샘씨엔에스,KOSDAQ,12340,12870,12280,13300
032500,케이엠더블유,KOSDAQ,17530,18540,16700,18550
466100,클로봇,KOSDAQ,28900,30150,28500,30200
036830,솔브레인홀딩스,KOSDAQ GLOBAL,35850,38000,35850,38600
248070,솔루엠,KOSPI,15350,15780,15140,15830
004490,세방전지,KOSPI,52900,52500,52000,54700
445680,큐리옥스바이오시스템즈,KOSDAQ,42400,45500,41850,45750
000670,영풍,KOSPI,39450,40800,38700,41350
010780,아이에스동서,KOSPI,24050,23250,22450,26550
006650,대한유화,KOSPI,110700,113400,108100,114800
079160,CJ CGV,KOSPI,4320,4340,4210,4375
285130,SK케미칼,KOSPI,41350,40400,39650,42400
003850,보령,KOSPI,8330,8480,8290,8600
122640,예스티,KOSDAQ,33000,37250,32600,37700
00088K,한화3우B,KOSPI,36700,36750,35700,38400
298050,HS효성첨단소재,KOSPI,158100,164400,158000,168700
064960,SNT모티브,KOSPI,26250,26500,26100,27050
035760,CJ ENM,KOSDAQ GLOBAL,31650,31100,30950,32650
025540,한국단자,KOSPI,68000,70000,67200,70500
003160,디아이,KOSPI,24500,27000,24050,27450
093050,LF,KOSPI,23500,22300,21950,24250
000370,한화손해보험,KOSPI,5850,5700,5570,6010
032190,다우데이타,KOSDAQ,17660,18320,17580,18400
052400,코나아이,KOSDAQ GLOBAL,46400,45600,44750,48800
356860,티엘비,KOSDAQ,68400,77400,68000,77400
456160,지투지바이오,KOSDAQ,40250,44650,40200,45000
295310,에이치브이엠,KOSDAQ,54800,60300,54300,62500
006730,서부T&D,KOSDAQ GLOBAL,10210,10250,10080,11060
00104K,CJ4우(전환),KOSPI,156700,152800,148100,156700
490470,세미파이브,KOSDAQ,19310,20500,19200,20550
069260,TKG휴켐스,KOSPI,16060,15950,15330,16400
222080,SFA넥셀,KOSDAQ GLOBAL,8360,8520,8260,8610
253450,스튜디오드래곤,KOSDAQ GLOBAL,21550,21450,21300,22450
002350,넥센타이어,KOSPI,6620,6830,6580,6830
094170,동운아나텍,KOSDAQ,30900,32100,30600,32400
090460,비에이치,KOSPI,19280,20200,18930,20350
023160,태광,KOSDAQ GLOBAL,24900,26800,24700,26900
114090,GKL,KOSPI,10400,10310,10180,10910
108320,LX세미콘,KOSPI,39150,40500,38350,40500
050890,쏠리드,KOSDAQ,10480,10990,10380,11250
001570,금양,KOSPI,9900,0,0,0
293940,신한알파리츠,KOSPI,5220,5100,5075,5240
053610,프로텍,KOSDAQ,70500,77100,69400,78000
002960,한국쉘석유,KOSPI,478000,479000,476500,494500
006380,카프로,KOSPI,3660,0,0,0
000400,롯데손해보험,KOSPI,1990,2050,1932,2150
126340,비나텍,KOSDAQ,87000,100800,84200,102000
376900,로킷헬스케어,KOSDAQ,39700,41700,38000,42100
005180,빙그레,KOSPI,66400,65000,64300,67900
001680,대상,KOSPI,17740,17480,17250,18110
317450,명인제약,KOSPI,41800,41900,41200,43000
007700,F&F홀딩스,KOSPI,15600,15150,15000,15750
476830,알지노믹스,KOSDAQ,44050,45050,43200,48350
383310,에코프로에이치엔,KOSDAQ,29000,29600,28350,30450
053800,안랩,KOSDAQ,54200,53000,52800,55200
001060,JW중외제약,KOSPI,25800,25550,25250,26250
358570,지아이이노베이션,KOSDAQ,9300,9760,9250,9980
005880,대한해운,KOSPI,1855,1867,1830,1920
002020,코오롱,KOSPI,46350,47500,45200,48300
336370,솔루스첨단소재,KOSPI,8500,8860,8320,8960
160190,하이젠알앤엠,KOSDAQ,19240,20500,19050,20500
046890,서울반도체,KOSDAQ GLOBAL,10120,10980,10040,11040
033790,피노,KOSDAQ,7080,7250,6840,7340
064290,인텍플러스,KOSDAQ,45800,45750,43550,47800
006110,삼아알미늄,KOSPI,38900,41700,38550,42250
044490,태웅,KOSDAQ,29350,31400,29100,32450
002840,미원상사,KOSPI,122900,121000,117000,125000
041960,코미팜,KOSDAQ,7870,7980,7850,8240
003620,KG모빌리티,KOSPI,2870,2920,2800,2950
102710,이엔에프테크놀로지,KOSDAQ,40650,44400,40300,44400
086900,메디톡스,KOSDAQ,79400,81500,78500,82000
045100,한양이엔지,KOSDAQ,33100,36000,32250,36400
225570,넥슨게임즈,KOSDAQ,8790,8690,8510,9040
005090,SGC에너지,KOSPI,40150,41500,40000,41850
476060,온코닉테라퓨틱스,KOSDAQ,12730,13850,12690,13870
033240,자화전자,KOSPI,26850,27450,25550,28950
178920,PI첨단소재,KOSPI,19590,20200,19290,20450
121600,나노신소재,KOSDAQ,46850,47550,46300,48600
171090,선익시스템,KOSDAQ,56700,58000,55700,58700
001270,부국증권,KOSPI,55000,56500,54600,57000
453340,현대그린푸드,KOSPI,17450,17000,16640,17550
059090,미코,KOSDAQ,17040,18700,16910,18750
383800,LX홀딩스,KOSPI,7410,7490,7350,7600
100840,SNT에너지,KOSPI,27250,28950,27150,28950
052020,에스티큐브,KOSDAQ,8280,8720,8050,8720
102940,코오롱생명과학,KOSDAQ,42750,44800,41900,45000
067160,SOOP,KOSDAQ GLOBAL,48600,48750,48300,49800
017940,E1,KOSPI,81200,81600,79100,83600
001510,SK증권,KOSPI,2400,2610,2395,2615
014820,동원시스템즈,KOSPI,19100,19260,18900,19600
000640,동아쏘시오홀딩스,KOSPI,82100,81100,79400,85000
079900,전진건설로봇,KOSPI,37700,38800,37350,38850
027360,아주IB투자,KOSDAQ,4500,4970,4450,4970
376300,디어유,KOSDAQ,22750,21200,21200,23850
037460,삼지전자,KOSDAQ,33000,33450,31250,34100
093320,케이아이엔엑스,KOSDAQ,109100,106000,104100,111500
016380,KG스틸,KOSPI,5300,5180,5110,5450
056080,유진로봇,KOSDAQ,13780,14110,13500,14360
268280,미원에스씨,KOSPI,105200,106200,101600,107200
174900,앱클론,KOSDAQ,26350,28000,26250,28350
348370,엔켐,KOSDAQ,23950,26200,23750,26250
033500,동성화인텍,KOSDAQ,17490,17950,17440,18040
336570,원텍,KOSDAQ,5850,5800,5610,6150
089890,코세스,KOSDAQ,32250,35250,30550,35400
389470,인벤티지랩,KOSDAQ,38900,42550,38400,44300
249420,일동제약,KOSPI,16300,16500,16160,16750
170920,엘티씨,KOSDAQ,48650,50900,47850,52000
