시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2
KOSPI,더존비즈온,012510,93800,123.91,28499.1,57.0,47.9,2.88,312.1653,-22.00995,0.39,2.4,13.29,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, 과열X",93000,88400,99800,104400
KOSPI,영원무역,111770,88100,122.99,39038.4,95.8,100.0,32.89,3038.0446,104.1454,1.55,27.31,50.34,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",67600,64300,72600,75900
KOSDAQ,에스와이스틸텍,365330,3390,117.42,1700.8,55.0,75.5,4.44,38.1686,10.14831,3.88,3.35,11.51,6,★,"RSI적정, MACD상승, 20선근접, 거래량↑, 자금유입(MFI), MACD>Sig, 과열X",3310,3150,3555,3715
KOSDAQ,코오롱생명과학,102940,43400,97.08,5391.7,78.2,89.4,22.72,961.7888,99.44506,1.97,16.04,34.78,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",36050,34300,38700,40500
KOSDAQ,쓰리빌리언,394800,11000,92.01,3489.4,57.7,63.9,8.77,82.8935,-67.03148,0.42,2.04,15.42,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",10320,9810,11070,11580
KOSPI,BNK금융지주,138930,14920,90.14,46912.2,59.5,48.9,1.46,5.7061,-15.29763,0.56,-3.12,1.57,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig, 과열X",14920,14260,15900,16560
KOSDAQ,강원에너지,114190,14630,79.9,3821.8,45.3,83.3,-11.76,-472.7748,-83.74955,0.12,-11.87,-14.74,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",14630,11240,19710,23100
KOSDAQ,메지온,140410,70400,77.24,21376.2,65.3,61.5,4.48,-271.5109,21.11459,0.78,-1.4,-1.68,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",68700,65400,73800,77200
KOSPI,아모레퍼시픽홀딩스,002790,30450,62.68,24195.0,72.5,73.7,13.08,492.1846,28.11368,0.98,11.13,14.47,6,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",27450,26100,29500,30850
KOSPI,대한유화,006650,141100,62.15,9171.5,55.5,64.6,1.18,-365.5577,-624.13809,0.79,-7.35,11.98,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",141100,135300,149800,155700
KOSPI,JB금융지주,175330,23150,62.0,43958.3,53.7,61.6,-0.33,6.718,-60.47483,0.65,-6.09,0.43,6,★,"RSI적정, 20선근접, 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",23150,21300,25950,27850
KOSDAQ,인터플렉스,051370,10130,61.37,2363.1,58.8,73.5,7.51,151.1782,-16.05897,2.16,14.46,16.71,6,★,"RSI적정, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",9610,9140,10320,10790
KOSDAQ,씨피시스템,413630,4000,60.12,1457.5,46.4,82.5,-5.68,-75.7698,-28.89522,0.13,-18.2,12.04,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",4000,2930,5600,6670
KOSDAQ,와이바이오로직스,338840,22900,58.88,3423.4,45.5,48.5,0.56,-280.8318,-132.16531,0.39,-8.76,11.17,6,★,"RSI적정, 20선근접, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",22900,22100,24100,24950
KOSPI,제일기획,030000,22200,57.38,25539.2,69.4,74.7,4.24,61.4463,-9.45716,0.6,0.91,5.71,6,★,"20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",21700,20650,23300,24400
KOSDAQ,코스메카코리아,241710,72300,53.3,7721.6,58.3,57.4,3.02,-43.7921,26.85422,0.61,2.26,-5.98,6,★,"RSI적정, MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 과열X",71600,68100,76800,80400
KOSPI,신풍제약,019170,13830,50.95,7327.8,54.6,66.3,-2.66,-78.5278,-19.97155,0.42,-5.53,-0.72,6,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",13830,12080,16450,18200
KOSPI,SK하이닉스,000660,521000,34697.96,3792892.3,34.3,41.4,-9.73,-14663.816,-3459.66799,1.33,-6.96,-10.17,5,★,"거래량↑, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",521000,447500,631000,705000
KOSPI,NAVER,035420,262500,3322.75,411738.2,42.2,40.5,0.7,-1332.8543,732.81992,0.87,3.55,0.96,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 과열X",262500,253000,277000,286500
KOSDAQ,에이비엘바이오,298380,178800,2476.51,98563.8,80.7,77.4,41.31,6702.4215,-668.07249,0.82,2.64,76.51,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",129100,122700,138600,144900
KOSPI,LS ELECTRIC,010120,441000,2103.92,132300.0,42.1,51.5,-3.32,-5447.8976,-3438.72327,1.46,-2.65,0.23,5,★,"거래량↑, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",441000,364000,556000,633000
KOSDAQ,디앤디파마텍,347850,94300,1848.43,10237.5,70.8,68.8,27.53,1438.4726,-86.59006,0.72,10.68,29.05,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",75400,71700,81000,84700
KOSPI,SK스퀘어,402340,266000,1755.58,352558.7,45.7,65.6,-6.9,-4855.1945,-1870.90827,0.88,-8.59,-4.66,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",266000,217000,339500,388000
KOSPI,한미반도체,042700,120100,1168.37,114470.0,29.8,43.2,-9.58,-2832.7987,52.16221,0.63,-4.38,-5.58,5,★,"MACD상승, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",120100,102900,145900,163000
KOSPI,에이피알,278470,238000,1021.82,89085.0,33.5,35.1,0.75,-151.0828,1207.66922,0.64,8.43,1.71,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 과열X",238000,229000,251500,260000
KOSDAQ,펩트론,087010,369000,869.26,86041.0,73.6,89.4,26.38,11378.7281,483.79774,0.79,19.22,29.02,5,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",298000,283000,319500,334500
KOSPI,대덕전자,353200,47350,832.72,23398.9,61.0,82.2,6.11,-29.7486,-419.71193,0.72,0.32,12.07,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 자금유입(MFI), 과열X",45500,43300,48850,51100
KOSPI,기아,000270,114000,772.75,448919.8,42.5,39.0,-0.98,-589.6417,-48.29137,0.64,-2.56,3.54,5,★,"20선근접, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",114000,107200,124100,130900
KOSPI,파미셀,005690,16450,766.38,9872.8,42.1,60.5,-7.74,-281.4261,-132.14129,0.77,-5.84,-4.91,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), 에너지응축(Sqz), 과열X",16450,13340,21100,24250
KOSDAQ,리가켐바이오,141080,178200,696.14,65239.6,70.5,83.6,12.43,2521.8557,-324.46143,0.64,1.54,19.76,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",161700,153700,173600,181500
KOSDAQ,인벤티지랩,389470,70000,555.39,8658.3,70.2,74.7,21.18,1072.4846,-104.91247,0.75,10.76,27.5,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",58900,56000,63300,66100
KOSPI,SK,034730,249000,481.13,180531.7,48.5,58.6,-2.98,-1920.4421,-1162.21139,0.72,-3.49,0.61,5,★,"RSI적정, 정배열(단), 장기추세(120↑), 에너지응축(Sqz), 과열X",249000,218000,295500,326500
KOSDAQ,퓨쳐켐,220100,32100,458.39,7094.8,83.4,92.7,34.44,1083.4415,-114.82107,0.95,7.36,57.74,5,★,"정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig, 과열X",24350,23150,26150,27350
