date,close,ret_1d_%,ret_3d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%
20220420,2718.69,0.35016864740002873,-2.2643258333976957,-2.928984179880756,-1.5124931492740967,-4.647458886448986,-12.63255464948192
20220421,2728.21,-0.861370642289272,-2.195578786090513,-2.2256351233959304,-3.0679456493451718,-3.2592798941430523,-13.094299925592246
20220422,2704.71,-1.759153476712838,-2.4272472834425907,-0.35715474117372636,-3.4717215524030287,-2.1196357465310456,-11.752091721478465
20220425,2657.13,0.4207547240819842,0.38989435970386843,1.1410807901758524,-2.2795271590023924,-1.9291491195387533,-9.332249457121033
20220426,2668.31,-1.096199467078418,1.0021324358864048,0.4553443940171986,-2.8497438453553015,-1.91469506916363,-10.312519909605712
20220427,2639.06,1.0772775154789915,1.8336074208240793,1.4592316961342444,-3.3716550589982797,-1.0083135661940301,-8.918705902859347
20220428,2667.49,1.033181005364603,0.48622487806890824,-0.8614840168097881,-2.3711429096266556,-1.1036592452080218,-9.541928929443023
20220429,2695.05,-0.28199847869243566,-0.6485965009925598,-3.1257305059275375,-3.6537355522161086,-0.9420975492105965,-10.371607205803235
20220502,2687.45,-0.2600978622858019,-1.5977971683193926,-3.3820164096076133,-2.493441738450941,-0.05767549163704366,-9.383616439375608
20220503,2680.46,-0.10781731493847424,-2.5984345970467837,-3.290106921946234,-2.032486961193225,-0.800981921013566,-8.541817449243783
20220504,2677.57,-1.2347016137766675,-3.025504468604001,-4.76140679795487,-3.183110058747296,-0.2584432899980227,-8.415092789357526
20220506,2644.51,-1.274338157163346,-1.9754132145463732,-1.52277737652724,-0.19739006470008702,-0.6870838075862862,-7.74774911042122
20220509,2610.81,-0.5458076229216235,-2.326098030879309,-0.5450415771350636,1.4007147207188542,0.5875571182889727,-5.720829934005156
20220510,2596.56,-0.1652185969128417,0.2957759497180801,0.9196783436546951,0.3585513140462737,1.112240810919074,-4.754367316757547
20220511,2592.27,-1.627531082796163,0.16626354507824903,1.3004046646375667,0.9624769024831448,0.1388744228031813,-3.91432991162185
20220512,2550.08,2.1238549378842952,2.759129125360782,1.6572029112812192,2.4458056217844026,-1.7870027606976868,-2.234439703852431
20220513,2604.24,-0.29413571713819975,0.8347924922434302,1.3458820999600718,1.2982674407888917,-4.272647682241271,-3.8698430252203986
20220516,2596.58,0.9189010159517563,-0.16329171448596913,1.9564195980867227,2.814471343074354,-5.7460197644593975,-4.455861171232922
20220517,2620.44,0.2114148768908919,0.7193448428508109,-0.5560134939170625,2.4980537619636367,-6.450443436980057,-3.688693501854645
20220518,2625.98,-1.2810455525175346,0.8149338532662087,-0.33358974554262844,1.257054509173705,-7.046892969481878,-3.733463316552299
20220519,2592.34,1.8111050248038385,0.5219222787134381,0.7757470084942542,3.0208228858868758,-7.765570874190885,-2.26899249326864
20220520,2639.29,0.30652182973451847,-0.8362097382250577,-0.046982332369682744,-0.49066226144152125,-8.72810490700151,-4.653524243262397
20220523,2647.38,-1.5679653090980628,-1.31941768843159,0.8415867763600149,-0.8019249219983537,-11.504581888508646,-5.26293920782056
20220524,2605.87,0.4355551121122625,1.234904273812587,3.0711432266383287,0.7509967880209079,-11.188202020822214,-4.343271153204109
20220525,2617.22,-0.18225445319842715,2.0036527307601304,1.59596824111079,-0.8157510641061849,-9.575809446664774,-5.911616142318943
