종목코드,종목명,시장,종가
136490,선진,KOSPI,9850
014910,성문전자,KOSPI,1095
014915,성문전자우,KOSPI,4265
004980,성신양회,KOSPI,10160
004985,성신양회우,KOSPI,11960
011300,성안머티리얼스,KOSPI,347
000180,성창기업지주,KOSPI,1537
002420,세기상사,KOSPI,6080
004360,세방,KOSPI,15540
004365,세방우,KOSPI,9600
004490,세방전지,KOSPI,66400
001430,세아베스틸지주,KOSPI,43150
306200,세아제강,KOSPI,118300
003030,세아제강지주,KOSPI,134100
019440,세아특수강,KOSPI,15890
058650,세아홀딩스,KOSPI,121300
013000,세우글로벌,KOSPI,1191
021820,세원정공,KOSPI,12210
067830,세이브존I&C,KOSPI,3185
075580,세진중공업,KOSPI,17560
068270,셀트리온,KOSPI,185600
336370,솔루스첨단소재,KOSPI,7800
33637K,솔루스첨단소재1우,KOSPI,1996
33637L,솔루스첨단소재2우B,KOSPI,3640
248070,솔루엠,KOSPI,16880
004430,송원산업,KOSPI,9100
017550,수산세보틱스,KOSPI,1798
126720,수산인더스트리,KOSPI,21600
053210,스카이라이프,KOSPI,5440
204210,스타에스엠리츠,KOSPI,2035
026890,스틱인베스트먼트,KOSPI,10570
134790,시디즈,KOSPI,22000
462870,시프트업,KOSPI,36350
016590,신대양제지,KOSPI,13220
029530,신도리코,KOSPI,52100
004970,신라교역,KOSPI,9450
011930,신성이엔지,KOSPI,1546
004170,신세계,KOSPI,258000
035510,신세계 I&C,KOSPI,17550
031430,신세계인터내셔날,KOSPI,11280
031440,신세계푸드,KOSPI,47900
006880,신송홀딩스,KOSPI,7150
005800,신영와코루,KOSPI,19200
001720,신영증권,KOSPI,142000
009270,신원,KOSPI,1510
002700,신일전자,KOSPI,1317
002870,신풍,KOSPI,1138
019170,신풍제약,KOSPI,14440
019175,신풍제약우,KOSPI,24200
481850,신한글로벌액티브리츠,KOSPI,1296
404990,신한서부티엔디리츠,KOSPI,3515
293940,신한알파리츠,KOSPI,5510
055550,신한지주,KOSPI,75800
004080,신흥,KOSPI,13850
004770,써니전자,KOSPI,1561
403550,쏘카,KOSPI,11800
004920,씨아이테크,KOSPI,1112
112610,씨에스윈드,KOSPI,44500
480370,씨케이솔루션,KOSPI,8400
308170,씨티알모빌리티,KOSPI,4535
008700,아남전자,KOSPI,1248
090430,아모레퍼시픽,KOSPI,124200
090435,아모레퍼시픽우,KOSPI,45300
002790,아모레퍼시픽홀딩스,KOSPI,27400
00279K,아모레퍼시픽홀딩스3우C,KOSPI,21550
002795,아모레퍼시픽홀딩스우,KOSPI,12010
002030,아세아,KOSPI,356000
183190,아세아시멘트,KOSPI,12520
002310,아세아제지,KOSPI,8460
012170,아센디오,KOSPI,1747
267850,아시아나IDT,KOSPI,11500
020560,아시아나항공,KOSPI,8150
122900,아이마켓코리아,KOSPI,7950
010780,아이에스동서,KOSPI,21900
031820,아이티센씨티에스,KOSPI,575
139990,아주스틸,KOSPI,3575
009320,아진전자부품,KOSPI,933
001780,알루코,KOSPI,1995
018250,애경산업,KOSPI,13640
161000,애경케미칼,KOSPI,10690
011090,에넥스,KOSPI,610
137310,에스디바이오센서,KOSPI,8990
005850,에스엘,KOSPI,42550
010580,에스엠벡셀,KOSPI,1971
012750,에스원,KOSPI,74900
023960,에쓰씨엔지니어링,KOSPI,1293
298690,에어부산,KOSPI,1800
140910,에이리츠,KOSPI,3130
078520,에이블씨엔씨,KOSPI,12980
015260,에이엔피,KOSPI,456
007460,에이프로젠,KOSPI,780
003060,에이프로젠바이오로직스,KOSPI,593
244920,에이플러스에셋,KOSPI,9350
278470,에이피알,KOSPI,264000
450080,에코프로머티,KOSPI,59900
019490,엑시큐어하이트론,KOSPI,541
036570,엔씨소프트,KOSPI,196200
085310,엔케이,KOSPI,1221
900140,엘브이엠씨홀딩스,KOSPI,1562
066970,엘앤에프,KOSPI,118200
097520,엠씨넥스,KOSPI,28300
484870,엠앤씨솔루션,KOSPI,139000
014440,영보화학,KOSPI,5000
111770,영원무역,KOSPI,87600
009970,영원무역홀딩스,KOSPI,197000
003520,영진약품,KOSPI,1963
000670,영풍,KOSPI,58000
012280,영화금속,KOSPI,930
012160,영흥,KOSPI,543
007310,오뚜기,KOSPI,389000
002630,오리엔트바이오,KOSPI,611
271560,오리온,KOSPI,105000
001800,오리온홀딩스,KOSPI,21250
005320,온타이드,KOSPI,472
011690,와이투솔루션,KOSPI,4030
316140,우리금융지주,KOSPI,27350
006980,우성,KOSPI,16880
017370,우신시스템,KOSPI,6550
105840,우진,KOSPI,18670
010400,우진아이엔에스,KOSPI,3820
049800,우진플라임,KOSPI,1885
016880,웅진,KOSPI,2315
095720,웅진씽크빅,KOSPI,1336
005820,원림,KOSPI,14760
010600,웰바이오텍,KOSPI,545
008600,윌비스,KOSPI,334
033270,유나이티드제약,KOSPI,20100
014830,유니드,KOSPI,69400
446070,유니드비티플러스,KOSPI,3445
000910,유니온,KOSPI,4300
047400,유니온머티리얼,KOSPI,1377
011330,유니켐,KOSPI,1285
077500,유니퀘스트,KOSPI,6060
002920,유성기업,KOSPI,2230
000700,유수홀딩스,KOSPI,6220
003470,유안타증권,KOSPI,3725
003475,유안타증권우,KOSPI,3760
072130,유엔젤,KOSPI,4945
000220,유유제약,KOSPI,4300
000225,유유제약1우,KOSPI,4895
000227,유유제약2우B,KOSPI,11490
001200,유진투자증권,KOSPI,3395
000100,유한양행,KOSPI,115100
000105,유한양행우,KOSPI,102600
003460,유화증권,KOSPI,2910
003465,유화증권우,KOSPI,2785
008730,율촌화학,KOSPI,29500
008250,이건산업,KOSPI,4860
025820,이구산업,KOSPI,5120
214320,이노션,KOSPI,19010
088260,이리츠코크렙,KOSPI,4650
139480,이마트,KOSPI,90900
457190,이수스페셜티케미컬,KOSPI,60000
007660,이수페타시스,KOSPI,123900
005950,이수화학,KOSPI,9300
015020,이스타코,KOSPI,583
074610,이엔플러스,KOSPI,511
102460,이연제약,KOSPI,11450
084680,이월드,KOSPI,1312
350520,이지스레지던스리츠,KOSPI,3940
334890,이지스밸류플러스리츠,KOSPI,4210
000760,이화산업,KOSPI,16460
014990,인디에프,KOSPI,885
101140,인바이오젠,KOSPI,10200
006490,인스코비,KOSPI,683
023800,인지컨트롤스,KOSPI,6330
034590,인천도시가스,KOSPI,26550
129260,인터지스,KOSPI,2590
023810,인팩,KOSPI,6950
249420,일동제약,KOSPI,39200
000230,일동홀딩스,KOSPI,14090
013360,일성건설,KOSPI,2525
003120,일성아이에스,KOSPI,22450
003200,일신방직,KOSPI,13570
007110,일신석재,KOSPI,1668
007570,일양약품,KOSPI,13050
007575,일양약품우,KOSPI,12980
008500,일정실업,KOSPI,2945
081000,일진다이아,KOSPI,12360
020760,일진디스플,KOSPI,902
103590,일진전기,KOSPI,56300
271940,일진하이솔루스,KOSPI,14090
015860,일진홀딩스,KOSPI,7400
226320,잇츠한불,KOSPI,11920
317400,자이에스앤디,KOSPI,4815
033240,자화전자,KOSPI,22500
000950,전방,KOSPI,39450
079900,전진건설로봇,KOSPI,49600
348950,제이알글로벌리츠,KOSPI,2900
194370,제이에스코퍼레이션,KOSPI,13810
030000,제일기획,KOSPI,22750
271980,제일약품,KOSPI,16040
001560,제일연마,KOSPI,9820
002620,제일파마홀딩스,KOSPI,8200
006220,제주은행,KOSPI,11630
089590,제주항공,KOSPI,5380
004910,조광페인트,KOSPI,5010
004700,조광피혁,KOSPI,69200
001550,조비,KOSPI,11320
462520,조선내화,KOSPI,14650
120030,조선선재,KOSPI,98700
018470,조일알미늄,KOSPI,1263
002600,조흥,KOSPI,154000
185750,종근당,KOSPI,86200
063160,종근당바이오,KOSPI,21000
001630,종근당홀딩스,KOSPI,49400
109070,주성코퍼레이션,KOSPI,815
044380,주연테크,KOSPI,436
013890,지누스,KOSPI,11780
013870,지엠비코리아,KOSPI,4000
071320,지역난방공사,KOSPI,111600
088790,진도,KOSPI,2025
003780,진양산업,KOSPI,6890
