종목코드,업종
000140,기타
0015G0,기술성장기업부
439090,기타
007460,기타
208340,관리종목(소속부없음)
035510,기타
123410,기타
042420,기타
036560,기타
086890,기타
058430,기타
255220,기타
121440,기타
356680,벤처기업부
010580,기타
115310,벤처기업부
461300,기타
017890,기타
095700,기술성장기업부
473980,기술성장기업부
293780,기술성장기업부
190510,기타
102260,기타
482630,기타
005010,기타
271980,기타
003350,기타
037460,벤처기업부
117580,기타
339770,기타
484810,기타
102460,기타
136490,기타
000520,기타
332570,벤처기업부
004430,기타
042370,기타
039570,기타
254490,기타
044450,기타
02826K,기타
144960,기타
028100,기타
290690,기타
083310,기타
285490,벤처기업부
092130,기타
123860,벤처기업부
068930,기타
243840,기타
006060,기타
234080,기타
057880,관리종목(소속부없음)
016580,기타
048870,벤처기업부
118990,기타
083930,기타
216080,기타
389500,기술성장기업부
030210,기타
047560,기타
002150,기타
082800,기타
012210,일반기업부
404990,기타
005680,기타
179290,기타
016880,기타
001045,기타
272550,기타
330860,기타
214180,기타
126600,기타
0015N0,벤처기업부
214420,기타
003555,기타
043260,기타
001520,기타
025950,기타
199820,기타
353810,기타
452260,기타
004380,기타
112290,기술성장기업부
457550,기타
308080,기술성장기업부
293480,기타
322310,벤처기업부
134380,기타
234340,기타
381620,기타
456010,기술성장기업부
095570,기타
053350,기타
092870,기타
003547,기타
140610,일반기업부
000050,기타
080580,벤처기업부
251370,벤처기업부
032620,기타
213500,기타
950170,외국기업(소속부없음)
298690,기타
256940,벤처기업부
086820,기술성장기업부
053690,기타
101530,기타
001250,기타
009470,기타
005430,기타
241520,기타
100120,기타
400760,기타
038390,기타
060150,기타
432720,기술성장기업부
102120,벤처기업부
260970,기타
054450,기타
079960,기타
067280,기타
001780,기타
182360,기타
080160,벤처기업부
244920,기타
464080,기술성장기업부
004710,기타
033160,기타
003650,기타
272110,기타
333430,기타
119610,기타
143160,기타
054540,기타
011785,기타
489460,벤처기업부
036190,기타
010820,기타
084680,기타
010955,기타
013580,기타
078070,기타
360070,기타
267320,벤처기업부
107600,벤처기업부
100250,기타
109740,벤처기업부
016790,관리종목(소속부없음)
073010,기타
003070,기타
011040,기타
260870,일반기업부
019210,기타
037560,기타
108230,기타
040300,기타
014280,기타
036420,기타
097955,기타
321550,기술성장기업부
024060,기타
148150,기타
036220,기타
071840,기타
310200,기타
038290,기타
094820,기타
046440,기타
078150,기타
405100,기타
340450,기술성장기업부
101970,기타
023910,기타
044990,기술성장기업부
002100,기타
282880,기타
001080,기타
015230,기타
004090,기타
081000,기타
263860,벤처기업부
039830,기타
456070,기술성장기업부
073490,기타
011000,기타
064290,벤처기업부
042600,기타
307750,기타
259630,기타
240550,벤처기업부
217820,기타
000020,기타
091580,기타
016450,기타
264850,기타
136150,벤처기업부
122450,기타
462520,기타
000970,기타
049950,기타
461030,기술성장기업부
025820,기타
090350,기타
009270,기타
160980,기타
336680,기타
146320,벤처기업부
439580,기술성장기업부
007330,기타
230240,기타
069510,기타
297090,기타
229500,일반기업부
460850,기타
002170,기타
234690,기타
066620,기타
096250,기술성장기업부
425040,기술성장기업부
000300,기타
365330,기타
170920,벤처기업부
006620,기타
083420,기타
004560,기타
035080,기타
413630,벤처기업부
033340,기타
