종목코드,종목명,기준일,업종,종가,거래대금(억원),RSI14,MFI14,MACD_Slope,BandWidth,ret_5d_%,ret_10d_%,ret_60d_%,rel_60d_%,EBS,근거,추천매수가,손절가,추천매도가1,RR1,Now%,ma20_above,업종_대분류,Sector_Mom_5d,LDY_SCORE,ENTRY_SCORE,ROUTE,REGIME
462350,이노스페이스,20251212,"항공기,우주선 및 부품 제조업",10960,69.0,44.9,51.2,119.75237,46.9,9.71,1.01,15.84,5.18,2,,10947,9852,12589,1.5,0.12,1,기타,5.58321554770318,68.3,92.0,🔺 Watch (상승 준비),⑤ 하락 / 약세
051910,LG화학,20251212,기초 화학물질 제조업,371500,643.4,55.7,51.5,92.3613,12.6,-2.62,-0.67,28.1,5.38,2,,371500,343357,413714,1.5,0.0,0,기타,5.58321554770318,68.2,92.5,↩️ PULL (눌림),⑤ 하락 / 약세
128940,한미약품,20251212,의약품 제조업,445500,482.1,49.8,53.4,1028.48385,12.2,4.58,-2.41,50.51,27.79,3,,444425,409567,496710,1.5,0.24,1,기타,5.58321554770318,68.2,91.5,🔺 Watch (상승 준비),⑤ 하락 / 약세
000155,두산우,20251212,기타,526000,97.0,46.0,30.6,406.51743,19.0,-2.05,-1.87,44.9,22.18,2,,526000,473571,604642,1.5,0.0,0,기타,5.58321554770318,68.0,92.5,↩️ PULL (눌림),⑤ 하락 / 약세
006650,대한유화,20251212,기초 화학물질 제조업,151300,60.9,63.8,51.8,428.86223,12.0,5.14,6.55,27.04,4.32,3,,144350,131121,164192,1.5,4.81,1,기타,5.58321554770318,67.9,73.3,🔺 Watch (상승 준비),③ 박스 / 중립
079900,전진건설로봇,20251212,특수 목적용 기계 제조업,50800,108.7,57.1,60.4,208.62445,20.8,10.31,6.61,5.18,-17.54,4,수급↑,46660,43617,52745,2.0,8.87,1,조선·기계·방산,6.275344827586206,67.7,64.5,🔼 BRK (돌파),④ 바닥 반등 시도
319660,피에스케이,20251212,특수 목적용 기계 제조업,31750,205.0,62.3,59.4,-20.97659,20.4,0.47,6.9,17.38,6.72,2,,31542,28878,35538,1.5,0.66,1,조선·기계·방산,6.275344827586206,67.5,89.9,↩️ PULL (눌림),② 상승 후 조정
047810,한국항공우주,20251212,"항공기,우주선 및 부품 제조업",115100,2351.4,71.1,70.5,365.89108,9.7,8.38,5.69,16.15,-6.57,3,"수급↑,Squeeze",108460,99045,122581,1.5,6.12,1,기타,5.58321554770318,67.5,68.0,⚡ Squeeze (급변동 임박),④ 바닥 반등 시도
093370,후성,20251212,기초 화학물질 제조업,8050,86.8,54.8,45.7,6.18786,15.3,-0.86,-3.94,43.75,21.03,2,,8050,7347,9104,1.5,0.0,0,기타,5.58321554770318,66.9,92.5,↩️ PULL (눌림),① 강한 상승 추세
183300,코미코,20251212,특수 목적용 기계 제조업,85800,59.6,58.7,55.8,17.28771,15.1,-0.81,-1.04,-11.0,-21.66,2,,85800,77814,97778,1.5,0.0,0,조선·기계·방산,6.275344827586206,66.7,92.5,↩️ PULL (눌림),④ 바닥 반등 시도
006800,미래에셋증권,20251212,금융 지원 서비스업,22200,784.8,60.2,55.1,55.3178,9.0,1.6,1.6,0.45,-22.27,3,Squeeze,21867,20231,24321,1.5,1.52,1,금융,2.2256249999999995,66.5,78.7,⚡ Squeeze (급변동 임박),④ 바닥 반등 시도
017960,한국카본,20251212,"구조용 금속제품, 탱크 및 증기발생기 제조업",30150,103.6,65.6,77.1,46.38706,15.1,7.1,10.44,-8.64,-31.36,3,수급↑,27992,25763,31335,1.5,7.71,1,기타,5.58321554770318,66.3,61.7,🔻 REV (역추세 반등),④ 바닥 반등 시도
036810,에프에스티,20251212,전자부품 제조업,27600,82.0,50.8,58.8,48.70615,24.1,-0.9,-2.99,-2.82,-13.48,2,,27600,25164,31253,1.5,0.0,0,기타,5.58321554770318,66.2,92.5,↩️ PULL (눌림),④ 바닥 반등 시도
003720,삼영,20251212,플라스틱제품 제조업,6950,107.1,58.3,75.8,-14.50316,27.3,-6.59,2.51,31.13,8.41,3,수급↑,6921,6229,7959,1.5,0.41,1,기타,5.58321554770318,66.2,90.9,↩️ PULL (눌림),② 상승 후 조정
