시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,乖離%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,통과,근거,추천매수가,추천매도가1,추천매도가2,손절가
KOSDAQ,포스코엠텍,009520,15640,77.46,6512.9,54.0,-0.22,-165.6389,29.402,0.5,-3.69,-6.07,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",15640,16080,16510,15200
KOSDAQ,대주전자재료,078600,75900,77.3,11749.8,51.2,0.25,-533.7748,48.55399,0.42,-1.43,-7.89,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",75900,78360,80820,73440
KOSPI,강원랜드,035250,17240,71.33,36883.3,48.9,0.42,20.5513,33.86144,0.85,2.5,0.88,5,초입,"RSI 45~65, MACD상승, MA20 근처, MACD>sig, 과열아님",17240,17670,18110,16810
KOSDAQ,에스티큐브,052020,8000,70.49,5438.7,51.7,-2.68,22.7294,-86.38408,2.19,-8.36,-4.42,5,초입,"RSI 45~65, 거래량증가, 상승구조, MACD>sig, 과열아님",8000,8030,8050,7970
KOSDAQ,덕산하이메탈,077360,6700,63.73,3044.3,47.0,-0.39,-60.4719,3.16218,0.72,3.55,-0.3,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",6700,6880,7050,6520
KOSPI,솔루스첨단소재,336370,9470,63.22,6649.6,56.4,5.47,-33.3508,26.34659,2.04,-1.25,3.95,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, 과열아님",9070,9430,9790,8710
KOSDAQ,원익,032940,8100,62.24,1473.7,49.1,1.17,-108.3549,32.73282,0.72,1.89,-12.9,5,초입,"RSI 45~65, MACD상승, MA20 근처, 상승구조, 과열아님",8090,8410,8730,7770
KOSPI,신풍제약,019170,14270,59.85,7561.0,56.6,4.15,22.8148,1.5261,0.49,7.05,-4.1,5,초입,"RSI 45~65, MACD상승, 상승구조, MACD>sig, 과열아님",13840,14390,14930,13290
KOSDAQ,오로라,039830,24000,58.78,2583.1,65.4,7.24,76.1596,94.35724,1.41,6.9,13.74,5,초입,"MACD상승, 거래량증가, 상승구조, MACD>sig, 과열아님",22600,23500,24390,21710
KOSDAQ,에스에이엠티,031330,3810,56.54,3809.8,57.0,6.1,-10.8646,16.18545,1.96,4.38,5.1,5,초입,"RSI 45~65, MACD상승, 거래량증가, 상승구조, 과열아님",3630,3770,3910,3480
