시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),RSI14,MFI14,이격도,MACD_Hist,MACD_Slope,거래강도,ret_5d_%,ret_10d_%,ret_60d_%,idx_60d_%,rel_60d_%,EBS,통과,근거,추천매수가,손절가,추천매도가1,추천매도가2,RR1,Now%,LDY_SCORE,ROUTE,AI_COMMENT,기준일,시총기준일,벤치_60d_KOSPI_%,벤치_60d_KOSDAQ_%,60일_종목수익률_%,60일_지수수익률_%,60일_초과수익(α)_%
KOSPI,포스코인터내셔널,047050,기타,54900,189.66,96581.6,,61.6,2.79,188.5004,6.41522,1.22,2.43,3.98,12.85,27.92,-15.07,7,★,"MACD상승, 20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",54900,51300,60300,65600,1.5,0.0,75.9,🔺 Watch (관찰·돌파예상),💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ,20251205,20251205,27.92,13.97,12.85,27.92,-15.07
KOSPI,HD한국조선해양,009540,운수장비,432000,492.77,305739.9,,41.0,1.86,-25.5341,1218.84746,0.57,5.37,2.86,0.82,27.92,-27.1,3,,"MACD상승, 20선근접, 장기추세(120↑)",432000,402000,468500,508000,1.2166666666666666,0.0,75.7,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,0.82,27.92,-27.1
KOSPI,이수페타시스,007660,기타,135200,1679.72,99249.3,,42.9,3.85,-1143.5463,-432.06754,0.6,-6.11,10.73,113.92,27.92,86.0,3,,"20선근접, 정배열(단), 장기추세(120↑)",134100,124700,145400,157600,1.202127659574468,0.8202833706189411,75.5,🔁 MR (반전),특이사항 없음. 기술적 지표를 참고하세요.,20251205,20251205,27.92,13.97,113.92,27.92,86.0
KOSPI,HD현대,267250,기타,208500,291.84,164700.6,,35.3,-0.16,-1802.1749,884.46995,0.73,6.11,2.46,44.09,27.92,16.17,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",208500,193900,226000,245000,1.1986301369863013,0.0,75.5,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,44.09,27.92,16.17
KOSPI,포스코퓨처엠,003670,기타,206000,371.19,183229.2,,42.4,0.78,-513.5468,119.55886,0.63,-0.24,7.01,56.53,27.92,28.61,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",206000,191600,223500,242000,1.2152777777777777,0.0,75.1,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,56.53,27.92,28.61
KOSPI,두산로보틱스,454910,기타,80800,995.76,52374.5,,61.8,6.7,647.4837,160.6658,2.98,4.26,13.8,31.38,27.92,3.46,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",78000,72500,86200,94400,1.490909090909091,3.5897435897435894,74.9,🔼 BRK (돌파),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251205,20251205,27.92,13.97,31.38,27.92,3.46
KOSPI,LS,006260,기타,188500,245.98,59754.5,,40.4,-0.94,-337.9333,861.8246,0.73,5.37,3.46,5.37,27.92,-22.55,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",188500,175300,204500,221500,1.2121212121212122,0.0,74.8,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,5.37,27.92,-22.55
KOSPI,LIG넥스원,079550,기타,372500,430.45,81950.0,,20.7,-5.55,-380.1341,826.78556,0.86,-2.74,-7.34,-21.74,27.92,-49.66,0,,MACD상승,372500,346500,404000,437500,1.2115384615384615,0.0,74.5,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. 📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251205,20251205,27.92,13.97,-21.74,27.92,-49.66
KOSDAQ,하나마이크론,067310,기타,25300,269.27,16793.7,,64.0,1.46,-54.7278,38.76107,0.49,-1.56,11.95,80.97,13.97,67.0,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI)",25300,23550,27450,29750,1.2285714285714286,0.0,74.4,↩️ PULL (눌림),💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,80.97,13.97,67.0
KOSDAQ,펩트론,087010,기타,285000,1183.53,66454.4,,40.3,-8.54,-6433.8428,-375.46968,1.06,-16.18,-22.76,-6.1,13.97,-20.07,2,,"정배열(단), 장기추세(120↑)",285000,265000,309000,335000,1.2,0.0,74.2,🔁 MR (반전),📉 과매도 구간으로 기술적 반등이 기대됩니다.,20251205,20251205,27.92,13.97,-6.1,13.97,-20.07
KOSDAQ,티엘비,356860,기타,66400,205.6,6528.9,,67.3,-1.19,-529.9994,71.40601,0.55,-0.15,6.41,121.33,13.97,107.36,4,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI)",66400,61800,72000,78000,1.2173913043478262,0.0,73.9,↩️ PULL (눌림),💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,121.33,13.97,107.36
KOSPI,NH투자증권,005940,기타,21400,132.61,76257.7,,61.8,1.21,22.6108,18.74917,0.84,3.63,4.14,11.23,27.92,-16.69,6,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",21400,20250,23100,24800,1.4782608695652173,0.0,73.9,🔺 Watch (관찰·돌파예상),💸 자금 유입이 꾸준히 이어지고 있습니다. 📈 상승 추세가 견고하게 유지되고 있습니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,11.23,27.92,-16.69
KOSDAQ,리가켐바이오,141080,기타,185500,1319.36,67912.2,,58.8,4.34,436.558,-856.88604,1.07,-4.04,4.1,21.96,13.97,7.99,4,★,"20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",183100,170300,198500,215000,1.203125,1.3107591480065537,73.7,🔺 Watch (상승 준비),특이사항 없음. 기술적 지표를 참고하세요.,20251205,20251205,27.92,13.97,21.96,13.97,7.99
KOSPI,키움증권,039490,기타,287500,176.12,76423.8,,52.4,2.13,388.8681,660.56318,0.58,5.31,9.73,39.23,27.92,11.31,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",287500,267500,311500,338000,1.2,0.0,73.5,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251205,20251205,27.92,13.97,39.23,27.92,11.31
KOSPI,미래에셋증권,006800,기타,21850,513.41,124614.1,,45.5,-2.49,-40.5132,19.84888,0.63,0.0,3.31,14.94,27.92,-12.98,2,,"MACD상승, 장기추세(120↑)",21850,20300,23700,25650,1.1935483870967742,0.0,73.2,↩️ PULL (눌림),📈 상승 추세가 견고하게 유지되고 있습니다. ,20251205,20251205,27.92,13.97,14.94,27.92,-12.98
KOSDAQ,오스코텍,039200,기타,56900,482.02,21768.9,,60.3,3.56,66.7811,-429.07187,1.41,-8.23,4.02,35.15,13.97,21.18,6,★,"20선근접, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",56600,52600,62500,68500,1.475,0.5300353356890459,73.2,🔺 Watch (상승 준비),💸 자금 유입이 꾸준히 이어지고 있습니다. ,20251205,20251205,27.92,13.97,35.15,13.97,21.18
KOSPI,한국금융지주,071050,기타,164000,251.61,91390.6,,48.7,0.49,94.3079,195.17544,0.56,2.24,7.12,25.0,27.92,-2.92,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",164000,152500,177800,192700,1.2,0.0,73.1,🔺 Watch (관찰·돌파예상),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,25.0,27.92,-2.92
KOSPI,삼성화재,000810,금융업,522000,587.3,240178.2,,71.7,6.67,2500.2084,1542.14746,1.26,8.41,11.06,14.1,27.92,-13.82,6,★,"MACD상승, 거래량↑, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",504000,472000,552000,600000,1.5,3.571428571428571,73.0,🔼 BRK (돌파),💰 외국인/기관의 강력한 수급이 집중되고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251205,20251205,27.92,13.97,14.1,27.92,-13.82
KOSDAQ,HLB,028300,기타,49100,251.74,64730.1,,51.8,2.49,21.1177,45.24881,1.05,4.69,9.35,21.09,13.97,7.12,5,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑), MACD>Sig",49100,45650,53200,57700,1.1884057971014492,0.0,72.5,🔺 Watch (관찰·돌파예상),📈 상승 추세가 견고하게 유지되고 있습니다. ,20251205,20251205,27.92,13.97,21.09,13.97,7.12
KOSPI,SK,034730,서비스업,264000,291.31,191407.1,,58.5,0.99,-391.2043,111.36964,0.44,-0.56,6.02,27.85,27.92,-0.07,4,★,"MACD상승, 20선근접, 정배열(단), 장기추세(120↑)",264000,245500,286000,310000,1.1891891891891893,0.0,72.3,↩️ PULL (눌림),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ✅ 20일선 부근의 안전한 눌림목 구간입니다.,20251205,20251205,27.92,13.97,27.85,27.92,-0.07
KOSPI,삼성전자,005930,전기전자,108400,21109.38,6416887.5,,62.1,7.19,459.2902,269.89255,1.02,7.86,14.35,55.97,27.92,28.05,5,★,"MACD상승, 정배열(단), 장기추세(120↑), 자금유입(MFI), MACD>Sig",104200,96900,112900,122400,1.1917808219178083,4.030710172744722,72.2,🔼 BRK (돌파),💸 자금 유입이 꾸준히 이어지고 있습니다. 🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ⚠️ 단기 급등으로 인한 조정 가능성을 염두에 두세요.,20251205,20251205,27.92,13.97,55.97,27.92,28.05
KOSPI,일진전기,103590,기타,55000,254.01,26227.0,,36.8,-2.34,-740.1773,200.8942,0.76,0.18,2.23,51.72,27.92,23.8,3,,"MACD상승, 정배열(단), 장기추세(120↑)",55000,51200,59600,64600,1.2105263157894737,0.0,72.2,🔺 Watch (상승 준비),🚀 상승 에너지가 폭발적으로 증가하는 중입니다. ,20251205,20251205,27.92,13.97,51.72,27.92,23.8
