시장,종목명,종목코드,종가,거래대금(억원),시가총액(억원),RSI14,괴리_%,MACD_hist,MACD_slope,Vol_Z,ret_5d_%,ret_10d_%,EBS,근거,RS_slope20,RS_high50,VCP_ok,Pivot_near,Vol_breakout,UDVR_50,UDVR_ok,OBV_high,Weekly_pos,Regime_good,EBS_PLUS,HitProb_%(heuristic),추천매수가,추천매도가1,추천매도가2,손절가
KOSPI,이수페타시스,007660,107600,1520.81,78988.3,85.0,28.41,2706.4616,159.19495,-0.53,24.54,30.11,3,"MACD↑, 상승구조, MACD>0",0.2136,False,False,True,False,2.12,True,False,True,True,47.6,32.8,86780,92760,97550,81280
KOSPI,대한전선,001440,21050,1207.99,39247.2,76.1,19.13,403.6168,15.34355,0.47,17.4,17.6,3,"MACD↑, 상승구조, MACD>0",0.1512,False,False,True,False,2.34,True,False,True,True,47.6,32.8,18250,19410,20330,17140
KOSPI,미래에셋증권,006800,25700,1048.78,146571.3,64.5,11.91,300.4257,-35.16311,0.11,11.98,15.77,3,"RSI 45~65, 상승구조, MACD>0",0.07,False,False,True,False,1.41,True,False,True,True,47.6,32.8,23740,25300,26550,22280
KOSPI,한국금융지주,071050,177600,815.41,98969.4,73.4,11.9,1739.9175,-241.41662,0.7,5.59,13.63,3,"상승구조, MACD>0, 5d<10%",0.0261,False,False,True,False,1.29,False,True,True,True,47.6,32.8,163720,173720,181720,153950
KOSPI,SK이노베이션,096770,134600,689.29,227545.1,83.6,15.74,2239.3522,-329.52884,-0.17,8.11,16.03,3,"상승구조, MACD>0, 5d<10%",0.1035,False,False,True,False,1.97,True,False,True,True,47.6,32.8,119300,125300,130100,112810
KOSPI,LS,006260,217500,656.3,68947.5,92.9,14.92,3306.0102,-365.1712,1.05,5.58,18.34,3,"상승구조, MACD>0, 5d<10%",0.1162,False,False,True,False,1.76,True,False,True,True,47.6,32.8,193400,201660,208270,183590
KOSPI,SJG세종,033530,7890,296.78,2195.1,71.7,13.38,83.2496,-43.10258,0.75,-10.75,37.7,3,"상승구조, MACD>0, 5d<10%",0.0637,False,False,False,True,3.82,True,False,True,True,47.6,32.8,7290,7960,8490,6750
KOSDAQ,비나텍,126340,56900,212.45,3649.4,60.4,11.06,691.7872,-27.4955,1.15,14.37,6.16,3,"RSI 45~65, 상승구조, MACD>0",0.0645,False,False,False,True,1.79,True,False,True,True,47.6,32.8,53700,58630,62570,49700
KOSPI,LS에코에너지,229640,47250,207.07,14470.3,68.5,10.33,431.1281,-69.58567,-0.18,0.96,8.0,3,"상승구조, MACD>0, 5d<10%",0.0316,False,False,True,False,1.28,False,True,True,True,47.6,32.8,44270,47160,49470,41540
KOSPI,LG화학우,051915,201500,199.05,15492.9,90.9,21.51,4558.823,-731.72969,0.73,6.9,29.83,3,"상승구조, MACD>0, 5d<10%",0.1868,False,False,True,False,2.0,True,False,True,True,47.6,32.8,170730,180510,188340,160860
KOSPI,S-Oil,010950,72900,142.55,82072.9,66.1,6.99,513.7582,-208.26045,-0.93,-0.27,6.73,3,"상승구조, MACD>0, 5d<10%",0.0117,False,False,True,False,1.51,True,False,True,True,47.6,32.8,69390,71910,73920,66090
KOSDAQ,와이바이오로직스,338840,19880,72.35,2971.9,71.1,20.06,334.4269,-57.8876,-0.41,5.19,30.1,3,"상승구조, MACD>0, 5d<10%",0.213,False,False,True,False,1.72,True,False,True,True,47.6,32.8,17260,18660,19780,16060
KOSDAQ,한양디지텍,078350,23350,58.31,3559.6,73.2,19.34,158.5469,13.72093,-0.95,18.35,18.05,3,"MACD↑, 상승구조, MACD>0",0.2568,False,False,True,False,2.85,True,False,True,True,47.6,32.8,20380,22010,23320,18980
